iteration,a,b,c,quality
1,580555710398.028,0.06217163817885788,-271597937404.2404,0
2,580555710398.0354,0.06961300638493534,-271597937404.23294,2.3594518101929913e+25
3,580555710398.0432,0.07748615067999279,-271597937404.2256,1.509307151688097e+27
4,580555710398.0417,0.07599979423720997,-271597937404.22412,1.6381101096852343e+26
5,580555710398.0381,0.0722958689959288,-271597937404.22504,9.406040724356208e+26
6,580555710398.0349,0.06904345241481781,-271597937404.2259,4.624451018655335e+26
7,580555710398.0333,0.06738920068959753,-271597937404.22534,2.3974128395991904e+25
8,580555710398.0333,0.06740171129920988,-271597937404.22314,2.272071645066498e+26
9,580555710398.0347,0.06874851528388143,-271597937404.2197,4.615305229510163e+26
10,580555710398.0369,0.07095367800423992,-271597937404.21555,4.5951414699308145e+26
11,580555710398.0393,0.07335355070183641,-271597937404.21143,2.638012886761579e+26
12,580555710398.041,0.07499753384328539,-271597937404.20816,5.762684646759727e+25
13,580555710398.0411,0.07510650090047609,-271597937404.20636,5.991550249361097e+25
14,580555710398.0399,0.07387006479510147,-271597937404.20584,2.5018366524884058e+26
15,580555710398.0381,0.07206730081572031,-271597937404.206,2.6942592763960363e+26
16,580555710398.0365,0.0704709255482006,-271597937404.2061,1.0067406591573444e+26
17,580555710398.0356,0.06956967093331361,-271597937404.20563,2.385911204374872e+25
18,580555710398.0356,0.06952680834838755,-271597937404.20438,8.832344322407125e+25
19,580555710398.0364,0.07026243287637653,-271597937404.2024,1.6828129516128382e+26
20,580555710398.0376,0.07152050320664434,-271597937404.19998,1.7276166434182062e+26
21,580555710398.039,0.07288961640812072,-271597937404.19757,1.0429893792198313e+26
22,580555710398.0399,0.07385443095315987,-271597937404.19562,3.3610599672033306e+25
23,580555710398.04,0.074016270057439,-271597937404.1945,3.6674465869922825e+25
24,580555710398.0394,0.0733748410181697,-271597937404.19415,9.919892268599228e+25
25,580555710398.0383,0.07230103595288837,-271597937404.19427,1.1522330882689328e+26
26,580555710398.0374,0.07127360041592154,-271597937404.19443,6.127811330489457e+25
27,580555710398.0367,0.07065775881001943,-271597937404.19424,2.400647340761234e+25
28,580555710398.0367,0.07061517610812128,-271597937404.19354,4.2404636436956265e+25
29,580555710398.0372,0.0711095228578212,-271597937404.19235,7.537770495975051e+25
30,580555710398.0381,0.07194067728870379,-271597937404.1909,7.821208130444125e+25
31,580555710398.039,0.07278748901203945,-271597937404.18948,4.968380622553202e+25
32,580555710398.0394,0.07329984648900019,-271597937404.18845,2.4882509359443417e+25
33,580555710398.0394,0.0732680086865815,-271597937404.18793,3.3166600759378687e+25
34,580555710398.039,0.0727532530570522,-271597937404.1879,5.6596176679928445e+25
